Date,Exchange Rate (USD/INR),Exchange_Rate_Lag_1,Exchange_Rate_Lag_3,Exchange_Rate_Lag_7,Exchange_Rate_MA_3,Exchange_Rate_MA_7,Exchange_Rate_Volatility_7,Exchange_Rate_Percent_Change,NIFTY,S&P500,NIFTY_Lag_1,SP500_Lag_1,NIFTY_Lag_3,SP500_Lag_3,NIFTY_Lag_7,SP500_Lag_7,NIFTY_MA_3,SP500_MA_3,NIFTY_MA_7,SP500_MA_7,NIFTY_Percent_Change,SP500_Percent_Change,Interest Rate USA,Interest Rate India,Interest_Rate_India_Change,Interest_Rate_US_Change,Inflation_Rate_India,Inflation_Rate_US,Inflation_India_Change,Inflation_USA_Change,GDP Rate India,GDP Rate USA,GDP_India_Change,GDP_USA_Change,Exports,Imports,Balance,Exports_Percent_Change,Imports_Percent_Change,Trade_Balance_Percent_Change,Unemployment_Rate_India,US_Unemployment_Rate,Unemployment_India_Change,Unemployment_USA_Change,Dollar_Index,Dollar_Index_Percent_Change
2015-01-26,61.473,61.455,61.455,61.638,61.461000000000006,61.51957142857143,0.08004135835717921,0.00029289724188430455,8835.6,2051.8,8761.4,2063.2,8695.6,2022.5,8299.4,2023.0,8775.5,2049.0333333333333,8615.371428571429,2027.5714285714287,0.008468966146962797,-0.005525397440868329,0.24,7.75,0.0,0.12,5.61,0.7,0.20000000000000018,0.19999999999999996,7.2,0.7,-0.7999999999999998,-0.9000000000000001,1544.8,3014.5,-1469.7,-0.022402227566130972,-0.07912020772873074,-0.13204984350085625,7.8,5.7,-0.20000000000000018,-0.20000000000000018,112.7857,0.009795723223590791
2015-01-27,61.343,61.473,61.455,61.648,61.42366666666666,61.476,0.08148005891040994,-0.002114749564849583,8910.5,2029.5,8835.6,2051.8,8729.5,2032.1,8277.55,2011.3,8835.833333333334,2048.1666666666665,8705.792857142858,2030.1714285714286,0.008477070034858869,-0.010868505702310238,0.24,7.75,0.0,0.12,5.61,0.7,0.20000000000000018,0.19999999999999996,7.2,0.7,-0.7999999999999998,-0.9000000000000001,1544.8,3014.5,-1469.7,-0.022402227566130972,-0.07912020772873074,-0.13204984350085625,7.8,5.7,-0.20000000000000018,-0.20000000000000018,112.7857,0.009795723223590791
2015-01-28,61.351,61.343,61.455,61.553,61.389,61.44714285714286,0.08534328439028224,0.00013041422819215498,8914.3,2002.2,8910.5,2029.5,8761.4,2063.2,8494.15,1992.7,8886.800000000001,2027.8333333333333,8765.814285714285,2031.5285714285712,0.00042646316143857277,-0.013451589061345137,0.24,7.75,0.0,0.12,5.61,0.7,0.20000000000000018,0.19999999999999996,7.2,0.7,-0.7999999999999998,-0.9000000000000001,1544.8,3014.5,-1469.7,-0.022402227566130972,-0.07912020772873074,-0.13204984350085625,7.8,5.7,-0.20000000000000018,-0.20000000000000018,112.7857,0.009795723223590791
2015-01-29,61.777,61.351,61.473,61.598,61.49033333333333,61.47271428571428,0.14443650771861186,0.006943652100210196,8952.35,2021.2,8914.3,2002.2,8835.6,2051.8,8513.8,2019.4,8925.716666666667,2017.6333333333332,8828.464285714286,2031.7857142857142,0.004268422646758641,0.009489561482369346,0.24,7.75,0.0,0.12,5.61,0.7,0.20000000000000018,0.19999999999999996,7.2,0.7,-0.7999999999999998,-0.9000000000000001,1544.8,3014.5,-1469.7,-0.022402227566130972,-0.07912020772873074,-0.13204984350085625,7.8,5.7,-0.20000000000000018,-0.20000000000000018,112.7857,0.009795723223590791
2015-01-30,62.13,61.777,61.343,61.455,61.75266666666667,61.56914285714286,0.2862961337330935,0.005714100717095327,8808.9,1995.0,8952.35,2021.2,8910.5,2029.5,8695.6,2022.5,8891.85,2006.1333333333332,8844.65,2027.857142857143,-0.01602372561394505,-0.012962596477340216,0.24,7.75,0.0,0.12,5.61,0.7,0.20000000000000018,0.19999999999999996,7.2,0.7,-0.7999999999999998,-0.9000000000000001,1544.8,3014.5,-1469.7,-0.022402227566130972,-0.07912020772873074,-0.13204984350085625,7.8,5.7,-0.20000000000000018,-0.20000000000000018,112.7857,0.009795723223590791
2015-01-31,62.13,62.13,61.351,61.455,62.01233333333334,61.665571428571425,0.34838573312875193,0.0,8808.9,1995.0,8952.35,2021.2,8910.5,2029.5,8695.6,2022.5,8891.85,2006.1333333333332,8844.65,2027.857142857143,-0.01602372561394505,-0.012962596477340216,0.24,7.75,0.0,0.12,5.61,0.7,0.20000000000000018,0.19999999999999996,7.2,0.7,-0.7999999999999998,-0.9000000000000001,1544.8,3014.5,-1469.7,-0.022402227566130972,-0.07912020772873074,-0.13204984350085625,7.8,5.7,-0.20000000000000018,-0.20000000000000018,112.7857,0.009795723223590791
2015-02-01,62.13,62.13,61.777,61.455,62.13,61.76200000000001,0.372938779605139,0.0,8808.9,1995.0,8952.35,2021.2,8910.5,2029.5,8695.6,2022.5,8891.85,2006.1333333333332,8844.65,2027.857142857143,-0.01602372561394505,-0.012962596477340216,0.24,7.75,0.0,0.12,5.61,0.7,0.20000000000000018,0.19999999999999996,7.2,0.7,-0.7999999999999998,-0.9000000000000001,1544.8,3014.5,-1469.7,-0.022402227566130972,-0.07912020772873074,-0.13204984350085625,7.6,5.5,-0.20000000000000018,-0.20000000000000018,112.7857,0.009795723223590791
2015-02-02,61.748,62.13,62.13,61.473,62.00266666666667,61.80128571428572,0.35127658347130747,-0.0061483985192339885,8797.4,2020.8,8808.9,1995.0,8914.3,2002.2,8729.5,2032.1,8852.883333333333,2012.3333333333333,8854.35,2026.242857142857,-0.0013054978487665458,0.012932330827067684,0.24,7.75,0.0,0.12,5.61,0.7,0.20000000000000018,0.19999999999999996,7.2,0.7,-0.7999999999999998,-0.9000000000000001,1544.8,3014.5,-1469.7,-0.022402227566130972,-0.07912020772873074,-0.13204984350085625,7.6,5.5,-0.20000000000000018,-0.20000000000000018,112.7857,0.009795723223590791
2015-02-03,61.594,61.748,62.13,61.343,61.824000000000005,61.83714285714286,0.3066792181697013,-0.0024940079030899565,8756.55,2050.0,8797.4,2020.8,8952.35,2021.2,8761.4,2063.2,8787.616666666667,2021.9333333333332,8853.657142857144,2024.357142857143,-0.004643417373314862,0.014449722882026839,0.24,7.75,0.0,0.12,5.61,0.7,0.20000000000000018,0.19999999999999996,7.2,0.7,-0.7999999999999998,-0.9000000000000001,1544.8,3014.5,-1469.7,-0.022402227566130972,-0.07912020772873074,-0.13204984350085625,7.6,5.5,-0.20000000000000018,-0.20000000000000018,112.7857,0.009795723223590791
2015-02-04,61.809,61.594,62.13,61.351,61.717000000000006,61.90257142857143,0.22316052304934084,0.0034905997337402184,8723.7,2041.5,8756.55,2050.0,8808.9,1995.0,8835.6,2051.8,8759.216666666665,2037.4333333333332,8837.671428571428,2022.8857142857144,-0.003751477465440023,-0.004146341463414638,0.24,7.75,0.0,0.12,5.61,0.7,0.20000000000000018,0.19999999999999996,7.2,0.7,-0.7999999999999998,-0.9000000000000001,1544.8,3014.5,-1469.7,-0.022402227566130972,-0.07912020772873074,-0.13204984350085625,7.6,5.5,-0.20000000000000018,-0.20000000000000018,112.7857,0.009795723223590791
2015-02-05,61.741,61.809,61.748,61.777,61.714666666666666,61.89742857142858,0.2269198515944681,-0.0011001634066235555,8711.7,2062.5,8723.7,2041.5,8797.4,2020.8,8910.5,2029.5,8730.65,2051.3333333333335,8809.271428571428,2027.6000000000001,-0.001375563121152723,0.010286554004408588,0.24,7.75,0.0,0.12,5.61,0.7,0.20000000000000018,0.19999999999999996,7.2,0.7,-0.7999999999999998,-0.9000000000000001,1544.8,3014.5,-1469.7,-0.022402227566130972,-0.07912020772873074,-0.13204984350085625,7.6,5.5,-0.20000000000000018,-0.20000000000000018,112.7857,0.009795723223590791
2015-02-06,61.84,61.741,61.594,62.13,61.79666666666666,61.856,0.20254629100537974,0.0016034725709010988,8661.05,2055.5,8711.7,2062.5,8756.55,2050.0,8914.3,2002.2,8698.816666666668,2053.1666666666665,8773.092857142858,2035.2142857142858,-0.005814020225673677,-0.0033939393939393936,0.24,7.75,0.0,0.12,5.61,0.7,0.20000000000000018,0.19999999999999996,7.2,0.7,-0.7999999999999998,-0.9000000000000001,1544.8,3014.5,-1469.7,-0.022402227566130972,-0.07912020772873074,-0.13204984350085625,7.6,5.5,-0.20000000000000018,-0.20000000000000018,112.7857,0.009795723223590791
2015-02-07,61.84,61.84,61.809,62.13,61.806999999999995,61.814571428571426,0.16294974393246178,0.0,8661.05,2055.5,8711.7,2062.5,8756.55,2050.0,8914.3,2002.2,8698.816666666668,2053.1666666666665,8773.092857142858,2035.2142857142858,-0.005814020225673677,-0.0033939393939393936,0.24,7.75,0.0,0.12,5.61,0.7,0.20000000000000018,0.19999999999999996,7.2,0.7,-0.7999999999999998,-0.9000000000000001,1544.8,3014.5,-1469.7,-0.022402227566130972,-0.07912020772873074,-0.13204984350085625,7.6,5.5,-0.20000000000000018,-0.20000000000000018,112.7857,0.009795723223590791
2015-02-08,61.84,61.84,61.741,62.13,61.84,61.773142857142865,0.08986365333387947,0.0,8661.05,2055.5,8711.7,2062.5,8756.55,2050.0,8914.3,2002.2,8698.816666666668,2053.1666666666665,8773.092857142858,2035.2142857142858,-0.005814020225673677,-0.0033939393939393936,0.24,7.75,0.0,0.12,5.61,0.7,0.20000000000000018,0.19999999999999996,7.2,0.7,-0.7999999999999998,-0.9000000000000001,1544.8,3014.5,-1469.7,-0.022402227566130972,-0.07912020772873074,-0.13204984350085625,7.6,5.5,-0.20000000000000018,-0.20000000000000018,112.7857,0.009795723223590791
2015-02-09,62.151,61.84,61.84,61.748,61.94366666666667,61.830714285714286,0.1670306501671894,0.005029107373867969,8526.35,2046.7,8661.05,2055.5,8723.7,2041.5,8952.35,2021.2,8633.033333333333,2054.9,8712.235714285714,2038.857142857143,-0.015552386835314347,-0.004281196789102437,0.24,7.75,0.0,0.12,5.61,0.7,0.20000000000000018,0.19999999999999996,7.2,0.7,-0.7999999999999998,-0.9000000000000001,1544.8,3014.5,-1469.7,-0.022402227566130972,-0.07912020772873074,-0.13204984350085625,7.6,5.5,-0.20000000000000018,-0.20000000000000018,112.7857,0.009795723223590791
2015-02-10,62.32,62.151,61.84,61.594,62.10366666666667,61.93442857142857,0.21426841199996735,0.0027191839230260584,8565.55,2068.6,8526.35,2046.7,8711.7,2062.5,8808.9,1995.0,8584.316666666666,2056.933333333333,8677.471428571429,2049.3714285714286,0.004597512417388261,0.010700151463331142,0.24,7.75,0.0,0.12,5.61,0.7,0.20000000000000018,0.19999999999999996,7.2,0.7,-0.7999999999999998,-0.9000000000000001,1544.8,3014.5,-1469.7,-0.022402227566130972,-0.07912020772873074,-0.13204984350085625,7.6,5.5,-0.20000000000000018,-0.20000000000000018,112.7857,0.009795723223590791
