Date,Exchange Rate (USD/INR),Exchange_Rate_Lag_1,Exchange_Rate_Lag_3,Exchange_Rate_MA_3,Exchange_Rate_Volatility_7,Exchange_Rate_Percent_Change,NIFTY,S&P500,NIFTY_Lag_1,SP500_Lag_1,NIFTY_Percent_Change,SP500_Percent_Change,Interest Rate USA,Interest Rate India,Inflation_Rate_India,Inflation_Rate_US,GDP Rate India,GDP Rate USA,GDP_India_Change,GDP_USA_Change,Exports,Imports,Unemployment_Rate_India,US_Unemployment_Rate,Dollar_Index,Dollar_Index_Percent_Change
2015-01-11,62.11,62.11,62.668,62.11,0.0051351547679487864,0.0,8284.5,2044.8,8234.6,2062.1,0.0060597964685593,-0.0083895058435574,0.12,7.75,5.41,0.4054651081081644,4.049691346263318,0.7,-0.7999999999999998,8.07465169527454,1580.2,3273.5,2.174751721484161,0.1111505674650676,111.6916,0.016268802841763
2015-01-12,62.068,62.11,62.11,62.096000000000004,0.004964502344307682,-0.000676219610368678,8323.0,2028.3,8284.5,2044.8,0.0046472327841149,-0.0080692488262911,0.24,7.75,5.61,0.5306282510621704,4.049691346263318,0.7,-0.7999999999999998,8.07465169527454,1544.8,3014.5,2.174751721484161,0.1111505674650676,112.7857,0.0097957232235907
2015-01-13,61.973,62.068,62.11,62.05033333333333,0.004153465997272002,-0.0015305793645679078,8299.4,2023.0,8323.0,2028.3,-0.0028355160398895,-0.0026130256865355,0.24,7.75,5.61,0.5306282510621704,4.049691346263318,0.7,-0.7999999999999998,8.07465169527454,1544.8,3014.5,2.174751721484161,0.1111505674650676,112.7857,0.0097957232235907
2015-01-14,62.088,61.973,62.11,62.043000000000006,0.004589300582676072,0.0018556468139352411,8277.55,2011.3,8299.4,2023.0,-0.002632720437622,-0.0057834898665348,0.24,7.75,5.61,0.5306282510621704,4.049691346263318,0.7,-0.7999999999999998,8.07465169527454,1544.8,3014.5,2.174751721484161,0.1111505674650676,112.7857,0.0097957232235907
2015-01-15,62.055,62.088,62.068,62.038666666666664,0.003467117209804644,-0.0005315036722072231,8494.15,1992.7,8277.55,2011.3,0.0261671629890487,-0.009247750211306,0.24,7.75,5.61,0.5306282510621704,4.049691346263318,0.7,-0.7999999999999998,8.07465169527454,1544.8,3014.5,2.174751721484161,0.1111505674650676,112.7857,0.0097957232235907
2015-01-16,61.61,62.055,61.973,61.91766666666667,0.0028485053286453157,-0.007171057932479297,8513.8,2019.4,8494.15,1992.7,0.0023133568397073,0.0133989060069252,0.24,7.75,5.61,0.5306282510621704,4.049691346263318,0.7,-0.7999999999999998,8.07465169527454,1544.8,3014.5,2.174751721484161,0.1111505674650676,112.7857,0.0097957232235907
2015-01-17,61.61,61.61,62.088,61.75833333333333,0.0028485053286453157,0.0,8513.8,2019.4,8494.15,1992.7,0.0023133568397073,0.0133989060069252,0.24,7.75,5.61,0.5306282510621704,4.049691346263318,0.7,-0.7999999999999998,8.07465169527454,1544.8,3014.5,2.174751721484161,0.1111505674650676,112.7857,0.0097957232235907
2015-01-18,61.61,61.61,62.055,61.61,0.0028485053286453157,0.0,8513.8,2019.4,8494.15,1992.7,0.0023133568397073,0.0133989060069252,0.24,7.75,5.61,0.5306282510621704,4.049691346263318,0.7,-0.7999999999999998,8.07465169527454,1544.8,3014.5,2.174751721484161,0.1111505674650676,112.7857,0.0097957232235907
2015-01-19,61.638,61.61,61.61,61.61933333333334,0.0029112517169287942,0.00045447167667589383,8513.8,2019.4,8494.15,1992.7,0.0023133568397073,0.0133989060069252,0.24,7.75,5.61,0.5306282510621704,4.049691346263318,0.7,-0.7999999999999998,8.07465169527454,1544.8,3014.5,2.174751721484161,0.1111505674650676,112.7857,0.0097957232235907
2015-01-20,61.648,61.638,61.61,61.632,0.00292902129233326,0.00016223758071332028,8695.6,2022.5,8513.8,2019.4,0.0213535671498039,0.001535109438447,0.24,7.75,5.61,0.5306282510621704,4.049691346263318,0.7,-0.7999999999999998,8.07465169527454,1544.8,3014.5,2.174751721484161,0.1111505674650676,112.7857,0.0097957232235907
2015-01-21,61.553,61.648,61.61,61.613,0.00269821921338912,-0.0015410070075266846,8729.5,2032.1,8695.6,2022.5,0.0038985233911403,0.0047466007416563,0.24,7.75,5.61,0.5306282510621704,4.049691346263318,0.7,-0.7999999999999998,8.07465169527454,1544.8,3014.5,2.174751721484161,0.1111505674650676,112.7857,0.0097957232235907
2015-01-22,61.598,61.553,61.638,61.59966666666667,0.0027934029496756697,0.0007310772829918211,8761.4,2063.2,8729.5,2032.1,0.0036542757317141,0.01530436494267,0.24,7.75,5.61,0.5306282510621704,4.049691346263318,0.7,-0.7999999999999998,8.07465169527454,1544.8,3014.5,2.174751721484161,0.1111505674650676,112.7857,0.0097957232235907
2015-01-23,61.455,61.598,61.648,61.535333333333334,0.001127535449710102,-0.0023215039449332453,8835.6,2051.8,8761.4,2063.2,0.0084689661469627,-0.0055253974408683,0.24,7.75,5.61,0.5306282510621704,4.049691346263318,0.7,-0.7999999999999998,8.07465169527454,1544.8,3014.5,2.174751721484161,0.1111505674650676,112.7857,0.0097957232235907
